model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,mask,100,8,Zeus,1.0000,0.3140,0.4779
baseline,mask,100,9,Miuref,0.7882,0.4020,0.5325
baseline,mask,100,10,MySQL,1.0000,0.5340,0.6962
baseline,mask,100,11,Virut,0.1114,0.8900,0.1981
baseline,mask,100,12,Weibo,0.1481,0.0480,0.0725
baseline,mask,100,13,WorldOfWarcraft,1.0000,0.0060,0.0119
baseline,mask,100,14,Outlook,0.8503,0.9880,0.9140
baseline,mask,100,15,Facetime,1.0000,0.2480,0.3974
baseline,mask,100,16,Tinba,1.0000,0.9880,0.9940
baseline,mask,100,17,FTP,1.0000,0.7220,0.8386
baseline,mask,100,18,Htbot,0.6350,0.2540,0.3629
baseline,mask,100,19,Skype,0.9969,0.6360,0.7766
baseline,random,0,0,Shifu,1.0000,1.0000,1.0000
baseline,random,0,1,Geodo,0.8873,0.9920,0.9367
baseline,random,0,2,BitTorrent,1.0000,1.0000,1.0000
baseline,random,0,3,Gmail,1.0000,1.0000,1.0000
baseline,random,0,4,Neris,0.9256,0.8960,0.9106
baseline,random,0,5,SMB,1.0000,1.0000,1.0000
baseline,random,0,6,Nsis-ay,0.9980,0.9800,0.9889
baseline,random,0,7,Cridex,0.9978,0.8940,0.9430
baseline,random,0,8,Zeus,0.9980,0.9960,0.9970
baseline,random,0,9,Miuref,0.8876,0.8840,0.8858
baseline,random,0,10,MySQL,1.0000,1.0000,1.0000
baseline,random,0,11,Virut,0.8627,0.9300,0.8951
baseline,random,0,12,Weibo,1.0000,1.0000,1.0000
baseline,random,0,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,random,0,14,Outlook,1.0000,1.0000,1.0000
baseline,random,0,15,Facetime,1.0000,1.0000,1.0000
baseline,random,0,16,Tinba,0.9980,0.9940,0.9960
baseline,random,0,17,FTP,1.0000,1.0000,1.0000
baseline,random,0,18,Htbot,0.9773,0.9460,0.9614
baseline,random,0,19,Skype,1.0000,1.0000,1.0000
baseline,random,25,0,Shifu,0.9980,1.0000,0.9990
baseline,random,25,1,Geodo,0.9937,0.6260,0.7681
baseline,random,25,2,BitTorrent,1.0000,1.0000,1.0000
baseline,random,25,3,Gmail,1.0000,1.0000,1.0000
baseline,random,25,4,Neris,0.9095,0.8440,0.8755
